label,output_tag,num_uavs,assignment_rule,train_episodes,actor_lr,critic_lr,clip_ratio,entropy_coef,value_coef,reward_energy_weight,reward_action_magnitude_weight,use_movement_budget,completion_rate,average_latency,total_energy,cache_hit_rate,fairness_uav_load,heuristic_completion_rate,heuristic_average_latency,heuristic_total_energy,heuristic_cache_hit_rate,heuristic_fairness_uav_load,delta_completion_rate,delta_average_latency,delta_total_energy,checkpoint_path,train_log_path,eval_path
no_energy_shaped_reward,ablation_no_energy,2,nearest_uav,30,0.00025,0.0008,0.18,0.008,0.6,0.0,0.0,True,1.0,0.25997478905086757,62.063485676623266,0.9099637681159419,0.6,1.0,0.25996999112363817,27.865925714269967,0.909963768115942,0.6,0.0,4.797927229405197e-06,34.197559962353296,C:\Users\woshinibaba\Documents\研究生\论文\毕业论文\论文正式\第四章\results\marl_shared_ppo_u2_nearest_uav_ablation_no_energy.pt,C:\Users\woshinibaba\Documents\研究生\论文\毕业论文\论文正式\第四章\results\marl_train_shared_ppo_u2_nearest_uav_ablation_no_energy.json,C:\Users\woshinibaba\Documents\研究生\论文\毕业论文\论文正式\第四章\results\marl_eval_shared_ppo_u2_nearest_uav_ablation_no_energy.json
no_movement_budget,ablation_no_budget,2,nearest_uav,30,0.00025,0.0008,0.18,0.008,0.6,1.5,0.2,False,1.0,0.25997329396776453,74.0749144830099,0.9099637681159419,0.7,1.0,0.25996999112363817,27.865925714269967,0.909963768115942,0.6,0.0,3.302844126362725e-06,46.20898876873994,C:\Users\woshinibaba\Documents\研究生\论文\毕业论文\论文正式\第四章\results\marl_shared_ppo_u2_nearest_uav_ablation_no_budget.pt,C:\Users\woshinibaba\Documents\研究生\论文\毕业论文\论文正式\第四章\results\marl_train_shared_ppo_u2_nearest_uav_ablation_no_budget.json,C:\Users\woshinibaba\Documents\研究生\论文\毕业论文\论文正式\第四章\results\marl_eval_shared_ppo_u2_nearest_uav_ablation_no_budget.json
