profile,num_uavs,assignment_rule,num_seeds,completion_rate_mean,completion_rate_std,completion_rate_mean_std,average_latency_mean,average_latency_std,average_latency_mean_std,total_energy_mean,total_energy_std,total_energy_mean_std,cache_hit_rate_mean,cache_hit_rate_std,cache_hit_rate_mean_std,fairness_uav_load_mean,fairness_uav_load_std,fairness_uav_load_mean_std
sensitive,2,least_loaded_uav,3,0.9047739068976236,0.002426961647661555,0.9048 +/- 0.0024,0.9437806726380797,0.02471497308451607,0.9438 +/- 0.0247,130.11737809607075,0.5213713429860999,130.1174 +/- 0.5214,0.19151440089853503,0.03184819501520984,0.1915 +/- 0.0318,0.9986914933696897,0.0007200458491456609,0.9987 +/- 0.0007
sensitive,2,nearest_uav,3,0.883972066027797,0.006090576194192333,0.8840 +/- 0.0061,0.9896383983869391,0.019686979437348272,0.9896 +/- 0.0197,134.18356906147204,10.065172727596886,134.1836 +/- 10.0652,0.1650656038464822,0.01776858380930961,0.1651 +/- 0.0178,0.9967179645982638,0.0015782662011830228,0.9967 +/- 0.0016
sensitive,3,least_loaded_uav,3,0.9364461255697981,0.005297499196806605,0.9364 +/- 0.0053,0.8502790222235861,0.019927710203369142,0.8503 +/- 0.0199,149.7891232837269,4.52892360941635,149.7891 +/- 4.5289,0.2471508442324123,0.015781374998515302,0.2472 +/- 0.0158,0.9874451035473134,0.005759095972881685,0.9874 +/- 0.0058
sensitive,3,nearest_uav,3,0.904538185828569,0.006778047784903652,0.9045 +/- 0.0068,0.9180324458247707,0.024275784500335816,0.9180 +/- 0.0243,182.08579510954942,1.9352419929429259,182.0858 +/- 1.9352,0.22966927148461472,0.01232211027081195,0.2297 +/- 0.0123,0.9803383385542676,0.013174631825439034,0.9803 +/- 0.0132
