num_uavs,assignment_rule,num_seeds,ppo_completion_rate_mean,ppo_completion_rate_std,ppo_completion_rate_mean_std,ppo_average_latency_mean,ppo_average_latency_std,ppo_average_latency_mean_std,ppo_total_energy_mean,ppo_total_energy_std,ppo_total_energy_mean_std,ppo_cache_hit_rate_mean,ppo_cache_hit_rate_std,ppo_cache_hit_rate_mean_std,ppo_fairness_uav_load_mean,ppo_fairness_uav_load_std,ppo_fairness_uav_load_mean_std,heuristic_completion_rate_mean,heuristic_completion_rate_std,heuristic_completion_rate_mean_std,heuristic_average_latency_mean,heuristic_average_latency_std,heuristic_average_latency_mean_std,heuristic_total_energy_mean,heuristic_total_energy_std,heuristic_total_energy_mean_std,heuristic_cache_hit_rate_mean,heuristic_cache_hit_rate_std,heuristic_cache_hit_rate_mean_std,heuristic_fairness_uav_load_mean,heuristic_fairness_uav_load_std,heuristic_fairness_uav_load_mean_std,delta_completion_rate_mean,delta_completion_rate_std,delta_completion_rate_mean_std,delta_average_latency_mean,delta_average_latency_std,delta_average_latency_mean_std,delta_total_energy_mean,delta_total_energy_std,delta_total_energy_mean_std
2,nearest_uav,3,1.0,0.0,1.0000 +/- 0.0000,0.27008745518142874,0.00891013020481205,0.2701 +/- 0.0089,68.7092354583872,11.773488593790333,68.7092 +/- 11.7735,0.9338801663982824,0.04035526903736539,0.9339 +/- 0.0404,0.4635135135135135,0.19781032891009717,0.4635 +/- 0.1978,1.0,0.0,1.0000 +/- 0.0000,0.27006437784450976,0.008888005677480321,0.2701 +/- 0.0089,81.46712734172964,47.45142926069193,81.4671 +/- 47.4514,0.9431394256575416,0.03094339564733617,0.9431 +/- 0.0309,0.4635135135135135,0.187282866726956,0.4635 +/- 0.1873,0.0,0.0,0.0000 +/- 0.0000,2.3077336918956675e-05,3.2770218235736766e-05,0.0000 +/- 0.0000,-12.757891883342444,40.74823144938483,-12.7579 +/- 40.7482
3,nearest_uav,3,1.0,0.0,1.0000 +/- 0.0000,0.2710028951218865,0.003133167090766813,0.2710 +/- 0.0031,105.71111622069056,36.32204046188552,105.7111 +/- 36.3220,0.9197819189667017,0.024566971332785847,0.9198 +/- 0.0246,0.42409535972754364,0.0787403276625063,0.4241 +/- 0.0787,1.0,0.0,1.0000 +/- 0.0000,0.271014812045675,0.0031067406458019213,0.2710 +/- 0.0031,123.03611997237913,71.09832911522638,123.0361 +/- 71.0983,0.9197819189667017,0.024566971332785806,0.9198 +/- 0.0246,0.3877845391029975,0.07562933157759132,0.3878 +/- 0.0756,0.0,0.0,0.0000 +/- 0.0000,-1.1916923788490852e-05,4.652056349837185e-05,-0.0000 +/- 0.0000,-17.325003751688566,68.83532577619391,-17.3250 +/- 68.8353
