variant,description,num_seeds,completion_rate_mean,completion_rate_std,completion_rate_mean_std,average_latency_mean,average_latency_std,average_latency_mean_std,total_energy_mean,total_energy_std,total_energy_mean_std,cache_hit_rate_mean,cache_hit_rate_std,cache_hit_rate_mean_std,fairness_uav_load_mean,fairness_uav_load_std,fairness_uav_load_mean_std,heuristic_total_energy_mean,heuristic_total_energy_std,heuristic_total_energy_mean_std,delta_total_energy_mean,delta_total_energy_std,delta_total_energy_mean_std
main,fixed energy_e30 PPO configuration,3,0.9845666281691691,0.013735486228074382,0.9846 +/- 0.0137,0.4082218245521038,0.053981763332500085,0.4082 +/- 0.0540,28.619915050365588,7.211865364986863,28.6199 +/- 7.2119,0.1098879095121889,0.019954138060138238,0.1099 +/- 0.0200,0.9236860562375143,0.047932765002126544,0.9237 +/- 0.0479,16.577664129961672,16.33824546091132,16.5777 +/- 16.3382,12.042250920403916,18.264021420416547,12.0423 +/- 18.2640
no_energy_shaped_reward,reward_energy_weight=0 and reward_action_magnitude_weight=0,3,0.9845666281691691,0.013735486228074382,0.9846 +/- 0.0137,0.40823433968688333,0.0539705787456804,0.4082 +/- 0.0540,27.79350089959502,11.444086727761576,27.7935 +/- 11.4441,0.1098879095121889,0.019954138060138238,0.1099 +/- 0.0200,0.9236860562375143,0.047932765002126544,0.9237 +/- 0.0479,16.577664129961672,16.33824546091132,16.5777 +/- 16.3382,11.21583676963335,11.28421376831514,11.2158 +/- 11.2842
no_movement_budget,use_movement_budget=False with all other settings fixed,3,0.9845666281691691,0.013735486228074382,0.9846 +/- 0.0137,0.4108052883506663,0.06345779576983741,0.4108 +/- 0.0635,111.07815839007924,7.966741039824543,111.0782 +/- 7.9667,0.09109705983898626,0.010322293218272082,0.0911 +/- 0.0103,0.9356015916824617,0.013553373751616395,0.9356 +/- 0.0136,16.577664129961672,16.33824546091132,16.5777 +/- 16.3382,94.50049426011758,23.81093546961348,94.5005 +/- 23.8109
